"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test updating Contratante.","418","Update Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestUpdateContratante","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[DELETE__grupo-faturamento_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","196","test_endpoint[PUT__risco_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test creating Contrato.","196","Create Contrato","tests.contrato","2026-09-08","failed","2026-09-08","TestCreateContrato","test_create","",""
"Test deleting Contratada.","421","Delete Contratada","tests.contratada","2026-09-08","failed","2026-09-08","TestDeleteContratada","test_delete","",""
"Test pre-process status endpoint.","182","Pre-process status event","tests","2026-09-08","failed","2026-09-08","TestEvents","test_events","",""
"Test one endpoint (one test per endpoint via parametrize ids).","290","test_endpoint[POST__events_type]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","230","test_endpoint[DELETE__contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","264","test_endpoint[DELETE__risco_id]","tests","2026-09-08","failed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","543","test_endpoint[DELETE__contrato_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Amostragem Grupo Area.","400","Delete Amostragem Grupo Area","tests.amostragem_grupo_area","2026-09-08","passed","2026-09-08","TestDeleteAmostragemGrupoArea","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","224","test_endpoint[DELETE__grupo-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","243","test_endpoint[GET__grupo-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
